gvkey,cnms,ctype,salecs,srcdate,conm,tic,cusip,CIK,sic,Symbol,GICS Sector,fyear,ap,at,capx,cogs,epsfx,gp,invt,ni,rect,sale,calc_ap_value,calc_at_value,calc_capx_value,calc_cogs_value,calc_epsfx_value,calc_gp_value,calc_invt_value,calc_ni_value,calc_rect_value,calc_sale_value
1598,European Union countries,GEOREG,434.072,2019-12-31,AMETEK INC,AME,031100100,1037868.0,3823,AME,Industrials,2019,377.219,9844.559,102.346,3136.855,3.75,2021.702,624.567,861.297,817.799,5158.557,,,,,,,,,,
1598,Asia,GEOREG,773.034,2019-12-31,AMETEK INC,AME,031100100,1037868.0,3823,AME,Industrials,2019,377.219,9844.559,102.346,3136.855,3.75,2021.702,624.567,861.297,817.799,5158.557,,,,,,,,,,
1598,4 Customers,COMPANY,146.854,2019-12-31,AMETEK INC,AME,031100100,1037868.0,3823,AME,Industrials,2019,377.219,9844.559,102.346,3136.855,3.75,2021.702,624.567,861.297,817.799,5158.557,,,,,,,,,,
1598,Asia,GEOREG,186.535,2019-12-31,AMETEK INC,AME,031100100,1037868.0,3823,AME,Industrials,2019,377.219,9844.559,102.346,3136.855,3.75,2021.702,624.567,861.297,817.799,5158.557,,,,,,,,,,
1598,United States,GEOREG,998.317,2019-12-31,AMETEK INC,AME,031100100,1037868.0,3823,AME,Industrials,2019,377.219,9844.559,102.346,3136.855,3.75,2021.702,624.567,861.297,817.799,5158.557,,,,,,,,,,
1598,Process and Analytical Instrumentation,MARKET,2393.587,2019-12-31,AMETEK INC,AME,031100100,1037868.0,3823,AME,Industrials,2019,377.219,9844.559,102.346,3136.855,3.75,2021.702,624.567,861.297,817.799,5158.557,,,,,,,,,,
1598,United Kingdom,GEOREG,64.423,2019-12-31,AMETEK INC,AME,031100100,1037868.0,3823,AME,Industrials,2019,377.219,9844.559,102.346,3136.855,3.75,2021.702,624.567,861.297,817.799,5158.557,,,,,,,,,,
1598,Aerospace and power,MARKET,491.171,2019-12-31,AMETEK INC,AME,031100100,1037868.0,3823,AME,Industrials,2019,377.219,9844.559,102.346,3136.855,3.75,2021.702,624.567,861.297,817.799,5158.557,,,,,,,,,,
1598,Other foreign countries,GEOREG,365.983,2019-12-31,AMETEK INC,AME,031100100,1037868.0,3823,AME,Industrials,2019,377.219,9844.559,102.346,3136.855,3.75,2021.702,624.567,861.297,817.799,5158.557,,,,,,,,,,
1598,European Union countries,GEOREG,392.283,2019-12-31,AMETEK INC,AME,031100100,1037868.0,3823,AME,Industrials,2019,377.219,9844.559,102.346,3136.855,3.75,2021.702,624.567,861.297,817.799,5158.557,,,,,,,,,,
1598,Aerospace and power,MARKET,929.294,2019-12-31,AMETEK INC,AME,031100100,1037868.0,3823,AME,Industrials,2019,377.219,9844.559,102.346,3136.855,3.75,2021.702,624.567,861.297,817.799,5158.557,,,,,,,,,,
1598,Automation and engineered solutions,MARKET,1344.505,2019-12-31,AMETEK INC,AME,031100100,1037868.0,3823,AME,Industrials,2019,377.219,9844.559,102.346,3136.855,3.75,2021.702,624.567,861.297,817.799,5158.557,,,,,,,,,,
1598,United States,GEOREG,1685.369,2019-12-31,AMETEK INC,AME,031100100,1037868.0,3823,AME,Industrials,2019,377.219,9844.559,102.346,3136.855,3.75,2021.702,624.567,861.297,817.799,5158.557,,,,,,,,,,
1602,AmerisourceBergen Corp,COMPANY,12301.0,2019-12-31,AMGEN INC,AMGN,031162100,318154.0,2836,AMGN,Health Care,2019,1371.0,59707.0,618.0,2321.0,12.88,21041.0,3584.0,7842.0,4652.0,23362.0,,,,,,,,,,
1602,Cardinal Health Inc,COMPANY,6538.0,2019-12-31,AMGEN INC,AMGN,031162100,318154.0,2836,AMGN,Health Care,2019,1371.0,59707.0,618.0,2321.0,12.88,21041.0,3584.0,7842.0,4652.0,23362.0,,,,,,,,,,
1602,McKesson Corp,COMPANY,11795.0,2019-12-31,AMGEN INC,AMGN,031162100,318154.0,2836,AMGN,Health Care,2019,1371.0,59707.0,618.0,2321.0,12.88,21041.0,3584.0,7842.0,4652.0,23362.0,,,,,,,,,,
1632,International,GEOREG,3954.103,2019-10-31,ANALOG DEVICES INC,ADI,032654105,6281.0,3674,ADI,Information Technology,2019,225.27,21392.641,275.372,1595.105,3.65,4395.96,609.886,1363.011,635.136,5991.065,,,,,,,,,,
1632,"Macnica, Inc.",COMPANY,599.107,2019-10-31,ANALOG DEVICES INC,ADI,032654105,6281.0,3674,ADI,Information Technology,2019,225.27,21392.641,275.372,1595.105,3.65,4395.96,609.886,1363.011,635.136,5991.065,,,,,,,,,,
