gvkey,fyear,acominc,ap,at,capx,capxv,cogs,epsfx,gp,ib,invt,ni,oibdp,rect,sale
035005,2022,-50.385,14.414,8128.065,103.826,103.826,1007.922,.34,3385.038,103.711,0,103.711,359.742,557.404,4392.96
035006,2019,.271,2.15,422.202,1.744,1.744,0,-2.26,0,-72.131,0,-72.131,-76.33199999999999,0,0
035006,2020,.209,5.225,1136.713,1.264,1.264,153.356,-3.85,-128.356,-157.292,0,-157.292,-128.356,0,25
035006,2021,-1.274,5.656,1003.463,2.427,2.427,262.02,-4.8,-231.191,-236.551,0,-236.551,-231.191,0,30.829
035007,2019,12.762,106.557,474.249,4.048,4.048,1325.786,-.08,350.506,-18.061,61.514,-18.061,-43.865,63.396,1676.292
035007,2020,1.438,76.319,388.095,12.844,12.844,596.328,-.11,245.187,-22.269,20.58,-22.269,-16.681,74.03100000000001,841.515
035007,2021,-2.466,40.117,369.934,13.693,13.693,208.961,.1,130.337,20.774,13.302,20.774,-3.319,77.613,339.298
035008,2019,-1.3,.316,17.56,.193,.193,0,-1.11,0,-9.384,0,-9.384,-8.409000000000001,2.403,0
035008,2020,.977,.463,40.358,1.019,1.019,0,-.9,0,-11.824,0,-11.824,-9.499000000000001,,0
035008,2021,1.101,.878,95.146,1.625,1.625,0,-.8100000000000001,0,-14.468,0,-14.468,-18.742,,0
035009,2019,-.072,11.31,153.202,2.02,2.02,154.021,-2.92,30.985,-28.816,43.06,-28.816,-21.549,8.090999999999999,185.006
035009,2020,.029,18.405,122.65,1.788,1.788,112.437,-1.22,25.867,-14.517,36.064,-14.517,-25.54,10.721,138.304
035009,2021,.324,23.041,285.827,4.4,4.4,129.715,-.79,36.345,-30.583,66.982,-30.583,-29.063,14.955,166.06
035009,2022,.055,14.953,146.053,2.784,2.784,104.07,-15.37,33.015,-115.76,40.643,-115.76,-37.423,12.201,137.085
035013,2019,.647,34.334,2393.317,33.783,33.783,332.278,-2.51,810.4829999999999,-1361.371,0,-1361.371,-1361.075,316.367,1142.761
